Paper,SS,SS_overlap,SubSample,keep,missing,RT/accuracy,Study,Authors,comment,todo,Included in Bediou et al 2018,New,Publication_type,Year,VGP_criteria,NVGP_criteria,Game_genre,Age_group,Recruitment,Lab,Cognitive_domain,SubDomain,Task,Measure,Effect,DV_type,Data_source,nExp,nCtl,males_AVGP,males_NVGP,MaleRatioDiff,g_source,Cohen's d,d_var,J,g,g_var,included
20,20,20,male only,NA,NA,NA,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,spatial cognition,WM,Filter task,Inverse efficiency,main,speed,R CODE + CSV FILES,26,26,1,1,0,NA,0.2997831861849028,0.0777872111415305,0.9849246231155779,0.2952638416695525,0.07545954655723432,included
20,20,20,male only,NA,NA,3,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,multi-tasking,multi-tasking,task switching,Switch cost Accuracy,interaction,speed,R CODE + CSV FILES,26,26,1,1,0,NA,0.416991507276234,0.07859501843404333,0.9849246231155779,0.41070520314644154,0.07624318143890833,included
20,20,20,male only,NA,NA,3,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,multi-tasking,multi-tasking,task switching,Switch cost RT,interaction,speed,R CODE + CSV FILES,26,26,1,1,0,NA,0.15173063895428215,0.07714444410382187,0.9849246231155779,0.1494432423871322,0.0748360133504816,included
20,20,20,male only,2,NA,NA,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,multi-tasking,multi-tasking,Task switching,Switch cost: efficiency index,interaction,speed,R CODE + CSV FILES,26,26,1,1,0,MeanSD,0.2760475762073905,0.07765579100317284,0.9849246231155779,0.27188605495803286,0.07533205896764951,included
20,20,20,male only,NA,NA,1,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,top-down attention,top-down attention,AX CPT,Main effect: accuracy,main,accuracy,R CODE + CSV FILES,26,26,1,1,0,NA,0.26634687247682204,0.07760519861998255,0.9849246231155779,0.26233159299224684,0.07528298048496881,included
20,20,20,male only,NA,NA,1,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,top-down attention,top-down attention,AX CPT,Main effect: rt,main,speed,R CODE + CSV FILES,26,26,1,1,0,NA,-0.25997148717425056,0.07757293436676531,0.9849246231155779,-0.25605231902589504,0.0752516816907062,included
20,20,20,male only,3,NA,NA,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,top-down attention,top-down attention,AX CPT,Main effect: efficiency index,main,speed,R CODE + CSV FILES,26,26,1,1,0,MeanSD,0.3213706996628039,0.07791614544809385,0.9849246231155779,0.3165259152457767,0.07558462269977964,included
20,20,20,male only,NA,NA,2,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,verbal cognition,verbal cognition,N-Back,Main effect: accuracy,main,accuracy,R CODE + CSV FILES,26,26,1,1,0,NA,0.12200927990564277,0.07706621408060667,0.9849246231155779,0.12016994402766826,0.07476012424233192,included
20,20,20,male only,NA,NA,2,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,verbal cognition,verbal cognition,N-Back,Main effect: rt,main,speed,R CODE + CSV FILES,26,26,1,1,0,NA,0.339224888988077,0.0780295531279709,0.9849246231155779,0.3341109459380055,0.07569463682644707,included
20,20,20,male only,4,NA,NA,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,verbal cognition,verbal cognition,N-Back,Main effect: efficiency index,main,speed,R CODE + CSV FILES,26,26,1,1,0,MeanSD,0.3128199455521242,0.07786400306091572,0.9849246231155779,0.30810406697596154,0.07553404059463495,included
21,211,211,,NA,NA,0?,"Castel, Pratt & Drummond 2005-EXP1","Castel, A. D., Pratt, J., & Drummond, E.",NA,NA,1,NA,published,2005,"The VGPs were selected on the criteria that they had played action videogames at least four times a week for a minimum of 1 hour per day, and had done so for the previous 6 months.","The NVGPs had very little (less than 1 hour per month), and in most cases no videogame playing experience.",NA,Younger adults,Overt,Other,?,bottom-up attention?,Posner exogenous Cue-Target,Main effect: Group: anticipation error,main,accuracy,Paper,20,20,0.95,0.95,0,NA,-1.96468827043885,0.14825,0.9801324503311258,-1.9256547286420516,0.14241778869347835,included
21,211,211,,NA,NA,0?,"Castel, Pratt & Drummond 2005-EXP1","Castel, A. D., Pratt, J., & Drummond, E.",NA,NA,1,NA,published,2005,"The VGPs were selected on the criteria that they had played action videogames at least four times a week for a minimum of 1 hour per day, and had done so for the previous 6 months.","The NVGPs had very little (less than 1 hour per month), and in most cases no videogame playing experience.",NA,Younger adults,Overt,Other,perception,perception,Posner Cue-Target,Main effect: Group: RT,main,speed,Paper,20,20,0.95,0.95,0,NA,0.8544003745317531,0.109125,0.9801324503311258,0.8374255326536388,0.10483198105346257,included
21,211,211,,F<1 & df>1,df>1,1,"Castel, Pratt & Drummond 2005-EXP1","Castel, A. D., Pratt, J., & Drummond, E.",<1,NA,1,NA,published,2005,"The VGPs were selected on the criteria that they had played action videogames at least four times a week for a minimum of 1 hour per day, and had done so for the previous 6 months.","The NVGPs had very little (less than 1 hour per month), and in most cases no videogame playing experience.",NA,Younger adults,Overt,Other,bottom-up attention,bottom-up attention,Posner (exogenous) Cue-Target,Interaction: Group x cue validity x SOA: RT,interaction,speed,Paper,20,20,0.95,0.95,0,missing,NA,NA,NA,NA,NA,included
21,211,211,,NA,accuracy,1,"Castel, Pratt & Drummond 2005-EXP1","Castel, A. D., Pratt, J., & Drummond, E.",no data,NA,1,NA,published,2005,"The VGPs were selected on the criteria that they had played action videogames at least four times a week for a minimum of 1 hour per day, and had done so for the previous 6 months.","The NVGPs had very little (less than 1 hour per month), and in most cases no videogame playing experience.",NA,Younger adults,Overt,Other,bottom-up attention,bottom-up attention,Posner (exogenous) Cue-Target,Interaction: Group x cue validity x SOA: Error rate,interaction,accuracy,Not in the Paper,20,20,0.95,0.95,0,NA,NA,NA,NA,NA,NA,included
21,212,212,,2,NA,2,"Castel, Pratt & Drummond 2005-EXP2","Castel, A. D., Pratt, J., & Drummond, E.",NA,NA,1,NA,published,2005,"The VGPs were selected on the criteria that they had played action videogames at least four times a week for a minimum of 1 hour per day, and had done so for the previous 6 months.","The NVGPs had very little (less than 1 hour per month), and in most cases no videogame playing experience.",NA,Younger adults,Overt,Other,top-down attention,top-down attention,Visual search,Main effect: RT,main,speed,Paper,10,10,1,0.9,0.09999999999999998,Ftest,1.5491933384829668,0.26,0.9577464788732395,1.48373446502594,0.23849236262646303,included
21,212,212,,NA,F<1,2,"Castel, Pratt & Drummond 2005-EXP2","Castel, A. D., Pratt, J., & Drummond, E.",<1,NA,1,NA,published,2005,"The VGPs were selected on the criteria that they had played action videogames at least four times a week for a minimum of 1 hour per day, and had done so for the previous 6 months.","The NVGPs had very little (less than 1 hour per month), and in most cases no videogame playing experience.",NA,Younger adults,Overt,Other,top-down attention,top-down attention,Visual Search,Main effect: Error rate,main,accuracy,Paper,10,10,1,0.9,0.09999999999999998,NA,NA,NA,NA,NA,NA,included
21,212,212,,NA,NA,3,"Castel, Pratt & Drummond 2005-EXP2","Castel, A. D., Pratt, J., & Drummond, E.",NA,NA,1,NA,published,2005,"The VGPs were selected on the criteria that they had played action videogames at least four times a week for a minimum of 1 hour per day, and had done so for the previous 6 months.","The NVGPs had very little (less than 1 hour per month), and in most cases no videogame playing experience.",NA,Younger adults,Overt,Other,top-down attention,top-down attention,Visual Search,Interaction: Group x set size: RT,interaction,speed,Paper,10,10,1,0.9,0.09999999999999998,NA,NA,NA,NA,NA,NA,included
21,212,212,,NA,accuracy,3,"Castel, Pratt & Drummond 2005-EXP2","Castel, A. D., Pratt, J., & Drummond, E.",no data,NA,1,NA,published,2005,"The VGPs were selected on the criteria that they had played action videogames at least four times a week for a minimum of 1 hour per day, and had done so for the previous 6 months.","The NVGPs had very little (less than 1 hour per month), and in most cases no videogame playing experience.",NA,Younger adults,Overt,Other,top-down attention,top-down attention,Visual Search,Interaction: Group x set size: Error rate,interaction,accuracy,Not in the Paper,10,10,1,0.9,0.09999999999999998,NA,NA,NA,NA,NA,NA,included
22,22,22,,NA,F<1,1,Chisholm et al. 2010,"Chisholm, J. D., Hickey, C., Theeuwes, J., & Kingstone, A.",<1,NA,1,NA,published,2010,played action video games from 3 to 15 h per week (average of 7 h per week),reported playing few or no action video games over the past 6 months,NA,Younger adults,Overt,Other,top-down attention,top-down attention,Target orientation discrimination with/out distractors,Interaction: Group x distractor presence: Error rate%,interaction,accuracy,sent by email,15,15,1,1,0,NA,0.041633319989322654,0.13336222222222222,0.972972972972973,0.04050809512474637,0.12625086924762602,included
22,22,22,,1,NA,1,Chisholm et al. 2010,"Chisholm, J. D., Hickey, C., Theeuwes, J., & Kingstone, A.",NA,NA,1,NA,published,2010,played action video games from 3 to 15 h per week (average of 7 h per week),reported playing few or no action video games over the past 6 months,NA,Younger adults,Overt,Other,top-down attention,top-down attention,Attentional/Oculomotor capture (Target orientation discrimination with/out distractors),Interaction: Group x distractor presence: RT,interaction,speed,Paper,15,15,1,1,0,Ftest,1.7208525019109957,0.1826888888888889,0.972972972972973,1.6743429748323202,0.17294726077428782,included
22,22,22,,NA,NA,NA,Chisholm et al. 2010,"Chisholm, J. D., Hickey, C., Theeuwes, J., & Kingstone, A.",NA,NA,1,NA,published,2010,played action video games from 3 to 15 h per week (average of 7 h per week),reported playing few or no action video games over the past 6 months,NA,Younger adults,Overt,Other,perception,perception,Target orientation discrimination with/out distractors,Main effect group: Group x distractor presence: RT,interaction,accuracy,Paper (no exact data),15,15,1,1,0,NA,NA,NA,0.972972972972973,NA,NA,included
23,23,23,,NA,NA,NA,Chisholm & Kingstone 2012-,"Chisholm, J. D., & Kingstone, A.",NA,NA,1,NA,published,2012,Those who reported playing a minimum of 3 h/week of action video games over the last 6 months were defined as AVGPs.,NVGPs were defined as those who reported little to no action video game playing over the past 6 months,NA,Younger adults,Overt,Other,top-down attention,top-down attention,Attentional/Oculomotor capture,Main effect: search time (the time taken for the eyes to arrive at the target),main,speed,Paper,16,16,1,1,0,NA,NA,NA,NA,NA,NA,included
23,23,23,,NA,NA,NA,Chisholm & Kingstone 2012-,"Chisholm, J. D., & Kingstone, A.",NA,NA,1,NA,published,2012,Those who reported playing a minimum of 3 h/week of action video games over the last 6 months were defined as AVGPs.,NVGPs were defined as those who reported little to no action video game playing over the past 6 months,NA,Younger adults,Overt,Other,top-down attention,top-down attention,Attentional/Oculomotor capture,Main effect: amount of capture (first-saccade accuracy = % initial saccades of the abrupt onset),main,accuracy,Paper,16,16,1,1,0,NA,NA,NA,NA,NA,NA,included
23,23,23,,NA,NA,1,Chisholm & Kingstone 2012-,"Chisholm, J. D., & Kingstone, A.",NA,NA,1,NA,published,2012,Those who reported playing a minimum of 3 h/week of action video games over the last 6 months were defined as AVGPs.,NVGPs were defined as those who reported little to no action video game playing over the past 6 months,NA,Younger adults,Overt,Other,top-down attention,top-down attention,Attentional/Oculomotor capture,Interaction: Group x onset presence: search time (the time taken for the eyes to arrive at the target),interaction,speed,Paper,16,16,1,1,0,NA,0.746659226153404,0.1337109375,0.9747899159663865,0.7278358843176038,0.12705418932278792,included
23,23,23,,1,NA,1,Chisholm & Kingstone 2012-,"Chisholm, J. D., & Kingstone, A.",NA,NA,1,NA,published,2012,Those who reported playing a minimum of 3 h/week of action video games over the last 6 months were defined as AVGPs.,NVGPs were defined as those who reported little to no action video game playing over the past 6 months,NA,Younger adults,Overt,Other,top-down attention,top-down attention,Attentional/Oculomotor capture,Interaction: Group x onset presence: first-saccade accuracy = % initial saccades to the abrupt onset,interaction,accuracy,Paper,16,16,1,1,0,Ftest,1.1129914644776033,0.14435546875,0.9747899159663865,1.0849328561294285,0.13716878663229998,included
23,23,23,,NA,NA,NA,Chisholm & Kingstone 2012-,"Chisholm, J. D., & Kingstone, A.",NA,NA,1,NA,published,2012,Those who reported playing a minimum of 3 h/week of action video games over the last 6 months were defined as AVGPs.,NVGPs were defined as those who reported little to no action video game playing over the past 6 months,NA,Younger adults,Overt,Other,top-down attention,top-down attention,Attentional/Oculomotor capture,Oculomotor Capture - % initial saccades to abrupt onset,main,accuracy,Paper,16,16,1,1,0,NA,NA,NA,NA,NA,NA,included
24,24,24,,1,NA,1,Chisholm & Kingstone 2015 Acta (Action video game players' visual search advantage extends to biologically relevant stimuli),"Chisholm, J. D., & Kingstone, A.",Partial overlap: Chisholm et al 2015 PBR,NA,1,NA,published,2015,playing a minimum of 3 h per week of action video games over the last six months,reported little to no action video game playing over the past six months.,NA,Younger adults,Covert,Other,top-down attention,top-down attention,Attentional/Oculomotor capture with schematic emotional stimuli,Interaction: Group x onset presence: Saccade accuracy,interaction,accuracy,Paper,16,16,1,1,0,Ftest,0.8185352771872451,0.13546875,0.9747899159663865,0.7978999340648775,0.12872448979591836,included
24,24,24,,NA,NA,1,Chisholm & Kingstone 2015 Acta (Action video game players' visual search advantage extends to biologically relevant stimuli),"Chisholm, J. D., & Kingstone, A.",NA,NA,1,NA,published,2015,playing a minimum of 3 h per week of action video games over the last six months,reported little to no action video game playing over the past six months.,NA,Younger adults,Covert,Other,top-down attention,top-down attention,Attentional/Oculomotor capture with schematic emotional stimuli,Interaction: Group x onset presence: Saccade latency (all saccades on correct trials),interaction,speed,Paper,16,16,1,1,0,NA,NA,NA,NA,NA,NA,included
